t_s,fps,frame_ms_ema,fixed_ticks,meshed,dirty,visible_unready,rss_mb,cam_x,cam_y,cam_z,focus_x,focus_y,focus_z
147.27,61.57,16.24,2945,1016,0,736,549.8,76.0,93.5,9.4,43.3,64.8,28.9
148.28,60.00,16.67,2965,1016,0,905,549.8,81.5,121.4,11.7,77.5,89.1,51.6
149.30,60.22,16.60,2986,1016,0,1006,549.8,82.9,147.9,57.8,119.3,110.9,79.2
150.30,61.32,16.31,3006,1016,0,1017,549.8,128.0,168.2,135.0,162.9,126.0,108.0
151.30,60.03,16.66,3026,1016,0,902,549.8,207.9,173.2,178.7,201.5,126.0,133.6
152.32,60.86,16.43,3046,1016,0,736,549.8,270.9,177.2,179.9,232.3,126.0,153.9
153.32,60.11,16.64,3066,1016,0,655,549.8,294.2,179.3,172.1,247.9,126.0,164.3
154.34,60.33,16.57,3086,1016,0,666,549.8,292.1,178.7,167.0,246.3,126.0,161.6
155.35,60.09,16.64,3107,1016,0,726,549.8,276.0,174.6,147.3,234.3,126.0,146.5
156.37,60.19,16.62,3127,1016,0,823,549.8,249.8,167.8,118.1,215.4,126.0,122.7
157.38,60.70,16.47,3147,1016,0,928,549.8,217.9,159.1,85.9,192.6,126.0,94.1
158.40,60.66,16.49,3168,1016,0,928,549.8,185.2,132.7,55.7,169.1,108.9,64.6
159.40,60.01,16.66,3188,1016,0,829,549.8,157.1,100.9,31.2,148.2,85.6,38.3
160.40,60.08,16.65,3208,1016,0,777,549.8,136.8,69.3,14.1,132.5,60.7,18.5
161.42,60.18,16.62,3228,1016,0,740,549.8,127.1,43.1,6.1,124.8,38.0,8.8
162.42,61.10,16.37,3248,1016,0,740,549.9,126.8,46.3,5.7,124.5,41.4,8.5
163.43,60.03,16.66,3268,1016,0,740,549.9,126.8,54.3,5.1,124.5,49.4,8.5
164.45,60.77,16.46,3289,1016,0,740,549.9,125.8,57.4,5.9,124.5,54.7,8.5
165.47,60.06,16.65,3309,1016,0,740,549.9,125.2,57.7,6.6,124.5,56.1,8.5
166.48,60.33,16.57,3329,1016,0,740,549.9,125.4,56.5,3.8,124.5,53.7,8.5
167.50,60.61,16.50,3350,1016,0,740,549.9,124.9,51.0,0.8,124.5,47.6,8.5
168.50,60.13,16.63,3370,1016,0,740,549.9,124.1,42.0,0.2,124.5,39.1,8.5
169.50,60.27,16.59,3390,1016,0,740,549.9,124.4,29.8,7.1,124.5,29.3,8.5
170.52,60.35,16.57,3410,1016,0,739,549.9,121.1,61.9,5.3,121.5,61.0,8.3
